"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
342873,"IN-0283","small_airport","Therubali Aerodrome",19.34564,83.43444,830,"AS","IN","IN-OR","Deopur","no",,,,,,,
347130,"IN-0284","heliport","Aerial Bay Heliport",13.27495,93.02323,25,"AS","IN","IN-AN","Diglipur","no",,,,,,,
347136,"IN-0285","heliport","Diglipur Heliport",13.25542,93.00137,16,"AS","IN","IN-AN","Diglipur","no",,,,,,,"Diglipur Helicopter Terminal"
347137,"IN-0286","heliport","Mayabunder Heliport",12.91375,92.8976,3,"AS","IN","IN-AN","Mayabunder","no",,,,,,,"Mayabunder Helicopter Terminal"
347138,"IN-0287","heliport","Rangat Heliport",12.50765,92.96071,20,"AS","IN","IN-AN","Rangat","no",,,,,,,
347139,"IN-0288","heliport","Havelock Heliport",12.03744,92.98318,13,"AS","IN","IN-AN","Govind Nagar","no",,,,,,,
347140,"IN-0289","heliport","Neil Island Heliport",11.84177,93.01838,23,"AS","IN","IN-AN","Lakshmanpur","no",,,,,,,
347141,"IN-0290","heliport","Ross Island Heliport",11.67722,92.76022,1,"AS","IN","IN-AN","Port Blair","no",,,,,,,
347142,"IN-0291","heliport","Chidiya Tapu Heliport",11.50879,92.70187,13,"AS","IN","IN-AN","Port Blair","no",,,,,,,
347143,"IN-0292","heliport","Hut Bay Heliport",10.60307,92.53432,10,"AS","IN","IN-AN","Kwate-tu-kwage (Hut Bay)","no",,,,,,,
347144,"IN-0293","seaplane_base","Hut Bay Seaplane Base",10.58975,92.55899,,"AS","IN","IN-AN","Kwate-tu-kwage (Hut Bay)","no",,,,,,,
347145,"IN-0294","heliport","Chowra Island Heliport",8.46046,93.04432,20,"AS","IN","IN-AN","Nancowry","no",,,,,,,
347146,"IN-0295","heliport","Tarasa Dwip Island Heliport",8.30196,93.1247,60,"AS","IN","IN-AN","Nancowry","no",,,,,,,
347147,"IN-0296","heliport","Kamorta Heliport",8.03703,93.54899,20,"AS","IN","IN-AN","Nancowry","no",,,,,,,
347148,"IN-0297","heliport","Goaltekery Heliport",8.06716,93.54712,154,"AS","IN","IN-AN","Nancowry","no",,,,,,,
347149,"IN-0298","heliport","Champin Heliport",8.02424,93.54499,3,"AS","IN","IN-AN","Nancowry","no",,,,,,,
347150,"IN-0299","heliport","Katchal Heliport",7.99756,93.37938,125,"AS","IN","IN-AN","Nancowry","no",,,,,,,
348753,"IN-0300","small_airport","Viraf Airstrip",17.728462,78.700909,2010,"AS","IN","IN-TG","Mamidiyal","no",,,,,,,
354545,"IN-0301","medium_airport","Rashtrakavi Kuvempu Airport",13.858024,75.618868,2017,"AS","IN","IN-KA","Shimoga","no","VOSH","RQY","VOSH",,"https://web.archive.org/web/20240204161112/https://ksiidc.karnataka.gov.in/new-page/ShivamoggaAirport/en","https://en.wikipedia.org/wiki/Shivamogga_Airport","Sogane, Shivamogga"
350876,"IN-0302","small_airport","Nyoma Airstrip",33.16913,78.72971,13589,"AS","IN","IN-LA","Nyoma","no",,,,,,,
350878,"IN-0303","heliport","Kargil Heliport",34.5577,76.13505,9154,"AS","IN","IN-LA","Kargil","no",,,,,,,
350879,"IN-0304","heliport","Nimmoo Basgo Hydroelectric Plant Heliport",34.211296,77.185811,10289,"AS","IN","IN-LA","Khaltsi","no",,,,,,,
350880,"IN-0305","heliport","Nimmoo Heliport",34.19983,77.31903,10253,"AS","IN","IN-LA","Nimmoo","no",,,,,,,
